City,Number_crimes
Branford,9
Branson,73
BransonWest,3
BrantTown,0
Braselton,8
Braswell,0
Brattleboro,48
Brawley,121
Brazoria,10
Brea,72
BreauxBridge,42
Breckenridge,36
BrecknockTownshipBerksCounty,0
Breese,5
BreezyPoint,0
BreitungTownship,1
Bremerton,168
Brenham,93
Brentwood,239
Brevard,18
Brewer,3
Brewster,27
BriarcliffManorVillage,0
BrickTownship,83
Bridgeport,866
BridgeportTownship,49
Bridger,0
Bridgeton,223
Bridgeview,42
Bridgeville,12
Bridgewater,59
BridgewaterTownship,7
Bridgman,3
Bridgton,6
Brielle,2
Brier,2
Brigantine,1
BrighamCity,41
Brighton,152
BrightonTown,25
Brillion,5
BrimfieldTownship,7
Brinkley,29
Brisbane,10
Bristol,263
BristolBayBorough,2
BristolTownship,93
Bristow,10
Broadmoor,11
Broadview,20
Broadway,0
BrockportVillage,10
Brockton,782
Brodhead,1
BrokenArrow,138
BrokenBow,44
Bronson,11
BronxvilleVillage,0
Brookfield,41
BrookfieldTownship,6
Brookhaven,257
Brookings,54
Brookland,7
Brooklawn,16
Brookline,57
Brooklyn,17
BrooklynCenter,108
BrooklynPark,299
Brookneal,2
Brookshire,22
Brooksville,50
Broomfield,75
Broussard,32
BrownCity,2
BrownDeer,40
Brownfield,25
Brownsboro,1
Brownsburg,40
BrownstownTownship,75
Brownsville,927
Brownton,0
BrownvilleVillage,0
Brownwood,61
Bruceton,4
Brunswick,42
Brusly,11
Bryan,370
Bryant,32
Buchanan,21
BuchananVillage,2
Buckeye,107
BuckinghamTownship,0
Buckley,10
Bucklin,0
Bucksport,2
Bucyrus,25
Buda,20
Buellton,3
Buena,4
BuenaPark,246
BuenaVista,8
BuenaVistaTownship,92
Buffalo,2559
BuffaloGrove,11
BuffaloLake,1
Buhl,16
BullShoals,2
Bullard,7
BullheadCity,129
Bulverde,3
BunkerHill,0
Bunn,1
Bunnell,33
Burbank,243
Burgaw,13
Burgin,0
Burien,180
Burkburnett,24
Burke,0
Burkesville,0
Burleson,113
Burlingame,74
Burlington,732
BurlingtonCity,51
BurlingtonTownship,31
Burnet,20
Burnettown,1
Burns,13
Burnside,1
Burnsville,103
BurrRidge,7
Burrillville,9
Burton,136
Butler,67
ButlerTownship,23
ButlerTownshipButlerCounty,24
Butner,33
Buxton,12
Byram,17
ByramTownship,10
Byron,3
Cabool,5
Cabot,100
Cache,18
Cactus,16
Caddo,0
CaddoValley,1
Cadillac,52
Cadiz,5
CaernarvonTownshipBerksCounty,8
Cahokia,83
CairoTown,1
Calabasas,35
Calais,6
Caldwell,213
Caledonia,21
Calera,4
Calexico,94
Calhoun,51
CalhounFalls,14
Califon,0
CaliforniaCity,83
Calimesa,22
Calistoga,6
CalnTownship,28
Calumet,0
CalumetCity,186
Calvert,6
CalvertCity,0
CalvertonPark,10
Camarillo,58
Camas,10
Cambria,1
Cambridge,461
CambridgeSprings,5
CambridgeTownship,5
CambridgeVillage,0
Camden,206
CamdenCountyPoliceDepartment,1159
CamdenVillage,0
Camdenton,18
Cameron,42
CamillusTownandVillage,17
CammackVillage,0
CampVerde,46
Campbell,101
CampbellTownship,1
Campbellsport,0
Campbellsville,29
Campton,5
CamptonHills,1
CanajoharieVillage,1
CanalFulton,7
Canalou,0
Canandaigua,45
CanastotaVillage,7
Canby,32
Candia,1
Caney,0
Canfield,0
CanisteoVillage,4
CannonBeach,0
CannonFalls,1
Canon,0
CanonCity,103
Canonsburg,7
Canterbury,2
Canton,1141
CantonTownship,120
CantonVillage,3
Canyon,14
CanyonLake,15
Capac,5
CapeCarteret,4
CapeCharles,4
CapeCoral,226
CapeElizabeth,1
CapeGirardeau,233
CapeMay,4
CapeMayPoint,0
CapeVincentVillage,0
Capitan,3
CapitolHeights,19
Capitola,30
Carbondale,217
Cardington,2
Carencro,34
Caribou,8
Carlin,15
Carlinville,23
Carlisle,14
Carlsbad,240
Carlstadt,8
Carlton,2
Carlyle,7
Carmel,41
CarmelTown,8
Carnegie,29
Carney,0
CarneysPointTownship,17
Caro,12
CarolStream,29
CarolinaBeach,29
Carpentersville,21
Carpinteria,11
CarrabassettValley,1
Carrington,1
Carrizozo,3
Carroll,9
CarrollTown,0
CarrollTownship,1
Carrollton,13
CarrolltonTownship,10
Carrolltown,1
Carson,444
CarsonCity,3
Carteret,32
Carthage,88
CarthageVillage,1
Caruthersville,65
Carver,26
Cary,122
Caryville,3
CasaGrande,274
Cascade,0
Caseville,0
Casey,8
Caseyville,23
Cashion,0
Cashton,2
Casper,169
CaspianGaastra,4
CassCity,1
Casselberry,90
Cassopolis,2
Cassville,15
CastleHills,17
CastleRock,31
Castleton,3
Castroville,8
Catasauqua,14
CathedralCity,144
Catlettsburg,2
Catlin,1
Catoosa,38
CatskillVillage,6
CattaraugusVillage,0
Cavalier,0
CaveCity,3
CaveSprings,3
Cayce,138
CayugaHeightsVillage,0
CazenoviaVillage,2
CedarBluff,1
CedarCity,93
CedarGroveTownship,6
CedarHill,99
CedarKey,1
CedarPark,57
CedarRapids,345
Cedarburg,2
Cedarville,10
Celina,16
Cement,0
CentennialLakes,15
Center,36
CenterHarbor,0
CenterHill,1
CenterLine,28
Centerton,53
Centertown,0
Centerville,81
Central,1
CentralBucksRegional,8
CentralCity,15
CentralFalls,82
CentralLake,0
CentralMarin,32
CentralPoint,31
CentralSquareVillage,0
Centralia,241
CentreIslandVillage,0
Centreville,42
Ceres,209
Cerritos,127
Chadron,10
ChagrinFalls,1
Challis,2
Chamberlain,16
Chambersburg,59
Champaign,827
Champlin,25
Chandler,608
Channahon,7
ChapelHill,64
Chapin,3
Chardon,9
CharlesCity,8
CharlesTown,9
Charleston,596
Charlestown,14
Charlevoix,10
Charlotte,28
CharlotteMecklenburg,6982
Charlottesville,157
Charlton,8
ChartiersTownship,3
ChaseCity,5
Chaska,16
Chatham,14
ChathamTownship,0
ChathamVillage,0
Chattahoochee,16
Chattanooga,1946
Cheboygan,18
Checotah,15
CheektowagaTown,187
Chehalis,22
Chelmsford,34
Chelsea,277
Chenequa,0
Cheney,41
Chenoa,2
Cheraw,61
Cherokee,2
CherokeeVillage,10
CherryHillTownship,59
CherryHillsVillage,3
CherryValley,16
Cherryvale,5
Cherryville,16
Chesaning,2
Chesapeake,1112
Cheshire,14
Chesilhurst,4
Chesnee,3
Chester,576
ChesterTown,8
ChesterTownship,0
ChesterVillage,0
Chesterfield,4
ChesterfieldTownship,90
Chesterton,9
Chestertown,13
Cheswold,6
Chetek,6
Cheverly,24
Cheviot,23
ChevyChaseVillage,0
Chewelah,1
Cheyenne,220
Chicago,25532
ChicagoHeights,228
ChicagoRidge,17
Chichester,2
Chickasha,71
Chico,557
Chicopee,340
Chiefland,0
ChikamingTownship,5
Childress,4
Chilhowie,0
Chillicothe,159
Chilmark,3
Chilton,2
Chincoteague,4
Chino,329
ChinoHills,95
ChinoValley,37
Chipley,26
ChippewaFalls,50
Chisholm,6
ChittenangoVillage,1
ChocolayTownship,11
Chocowinity,6
Choctaw,14
Chouteau,2
Chowchilla,39
Christiansburg,31
Christopher,3
Chubbuck,37
ChulaVista,904
ChurchHill,0
ChurchPoint,39
Cibolo,39
Cicero,258
CiceroTown,5
Cincinnati,2562
CinnaminsonTownship,16
Circleville,47
Cisco,12
CitrusHeights,313
Claflin,0
ClaraCity,1
Clare,10
Claremont,51
Claremore,23
ClarendonHills,5
Clarinda,24
Clarion,2
Clark,0
ClarkTownship,14
Clarkdale,3
Clarksburg,0
Clarkson,0
Clarkston,74
ClarkstownTown,56
Clarksville,1073
Clawson,7
Claxton,19
ClayCenter,23
ClayCity,0
ClayTownship,23
Clayton,78
ClaytonTownship,9
ClaytonVillage,0
CleElum,5
ClearLake,31
Clearbrook,3
ClearcreekTownship,2
Clearfield,56
Clearlake,119
Clearwater,473
Cleburne,101
Clementon,13
Clemson,32
Cleona,0
Clermont,79
Cleveland,6315
ClevelandHeights,95
Clever,2
Cleves,2
Clewiston,26
CliffsidePark,18
Clifton,98
CliftonForge,8
Clinton,355
ClintonTownship,300
Clintwood,0
Clio,11
Clive,7
Cloquet,10
Closter,5
Cloudcroft,1
Clover,19
Cloverdale,16
Clovis,504
Clute,46
Clyde,4
ClydeHill,0
ClydeVillage,3
Coachella,126
CoalCity,4
CoalRunVillage,0
CoalValley,5
Coalgate,4
Coalinga,41
CobleskillVillage,15
Coburg,4
Cochranton,2
Cocoa,151
CocoaBeach,64
CoconutCreek,82
Cody,17
Coeburn,2
CoeurdAlene,132
CoeymansTown,17
Coffeyville,60
Cohasset,3
CohoctonTown,0
Cohoes,37
CoitsvilleTownship,3
Colbert,8
Colby,14
ColbyAbbotsford,2
Colchester,27
ColchesterTown,5
Colcord,1
ColdSpring,3
ColdSpringRichmond,3
ColdSpringVillage,1
Coldwater,47
Colebrook,1
Coleman,24
ColerainTownship,67
Colfax,3
CollegePark,177
CollegePlace,11
CollegeStation,225
Collegedale,10
Collegeville,1
Colleyville,5
Collierville,119
Collingswood,16
Collinsville,75
Collinwood,0
Colma,28
ColmarManor,6
ColomaTownship,14
Colon,2
Colona,13
ColonialBeach,11
ColonialHeights,71
ColonieTown,62
Colony,1
ColoradoCity,13
ColoradoSprings,2806
Colstrip,2
Colton,215
ColtsNeckTownship,4
Columbia,1716
ColumbiaCity,13
ColumbiaFalls,11
ColumbiaHeights,60
ColumbiaTownship,12
Columbiana,2
ColumbineValley,0
Columbus,4671
Colusa,6
Comanche,18
Comfrey,0
Commerce,147
CommerceCity,272
CommerceTownship,26
Compton,1104
Concord,740
Concordia,40
Connell,11
Constantine,6
Converse,152
Conway,457
Cookeville,121
Cooleemee,0
Coolidge,70
CooperCity,26
Coopertown,4
CoosBay,76
CopleyTownship,14
Coppell,25
CopperasCove,129
Coquille,19
CoralGables,50
CoralSprings,195
Coralville,69
Corbin,9
Corcoran,118
Cordell,1
Corder,0
Cordova,0
Corinth,16
Cornelius,35
Cornell,0
Cornersville,3
Corning,38
Cornish,0
CornwallTown,2
